SensorIndex_1,AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,MagX_1,MagY_1,MagZ_1,Quat1_1,Quat2_1,Quat3_1,Quat4_1,Sampletime_1,Package_1
0,0.03999999910593033,-0.07999999821186066,9.699999809265137,0.0625,-0.125,0.0625,30.6875,-31.25,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19640,1
0,0.03999999910593033,-0.07000000029802322,9.739999771118164,0.125,0.0625,0,30.6875,-31.25,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19650,2
0,0.05999999865889549,-0.07999999821186066,9.739999771118164,0.0625,0,0.125,29.875,-32.375,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19660,3
0,0.05999999865889549,-0.07000000029802322,9.729999542236328,0.0625,-0.25,-0.0625,29.875,-32.375,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19670,4
0,0.03999999910593033,-0.10000000149011612,9.710000038146973,-0.125,-0.1875,0.0625,29.875,-32.375,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19680,5
0,0.05000000074505806,-0.05999999865889549,9.710000038146973,0.125,-0.125,0,29.875,-32.375,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19690,6
0,0.03999999910593033,-0.07999999821186066,9.729999542236328,0,-0.1875,0,29.875,-32.375,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19700,7
0,0.05999999865889549,-0.09000000357627869,9.760000228881836,0.0625,0,0.125,29.1875,-30.1875,-19.5625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19710,8
0,0.03999999910593033,-0.07000000029802322,9.770000457763672,0,-0.1875,0.0625,29.1875,-30.1875,-19.5625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19720,9
0,0.05999999865889549,-0.09000000357627869,9.720000267028809,0.0625,0,0.0625,29.1875,-30.1875,-19.5625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19730,10
0,0.05000000074505806,-0.07999999821186066,9.729999542236328,0.0625,-0.0625,0,29.1875,-30.1875,-19.5625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19740,11
0,0.05999999865889549,-0.07999999821186066,9.739999771118164,0,-0.125,0.0625,29.1875,-30.1875,-19.5625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19750,12
0,0.05000000074505806,-0.07999999821186066,9.739999771118164,0.0625,-0.125,0.0625,29.5,-27.1875,-18.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19760,13
0,0.07000000029802322,-0.09000000357627869,9.739999771118164,0.0625,0.0625,0.125,29.5,-27.1875,-18.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19770,14
0,0.05000000074505806,-0.07000000029802322,9.699999809265137,0.1875,-0.0625,0,29.5,-27.1875,-18.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19780,15
0,0.03999999910593033,-0.09000000357627869,9.699999809265137,-0.0625,-0.125,-0.0625,29.5,-27.1875,-18.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19790,16
0,0.05999999865889549,-0.09000000357627869,9.739999771118164,0,-0.0625,0.0625,29.5,-27.1875,-18.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19800,17
0,0.05999999865889549,-0.09000000357627869,9.75,0,-0.0625,0,29.1875,-28.6875,-18.5,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19810,18
0,0.05999999865889549,-0.05999999865889549,9.729999542236328,-0.1875,0.0625,-0.0625,29.1875,-28.6875,-18.5,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19820,19
0,0.05999999865889549,-0.07999999821186066,9.729999542236328,0,-0.0625,0,29.1875,-28.6875,-18.5,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19830,20
0,0.03999999910593033,-0.07000000029802322,9.729999542236328,-0.0625,-0.0625,0,29.1875,-28.6875,-18.5,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19840,21
0,0.03999999910593033,-0.09000000357627869,9.739999771118164,-0.0625,-0.1875,-0.0625,29.1875,-28.6875,-18.5,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19850,22
0,0.05999999865889549,-0.07999999821186066,9.760000228881836,0.0625,0.125,0,29.1875,-30.1875,-19.25,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19860,23
0,0.05999999865889549,-0.09000000357627869,9.720000267028809,0.125,0.0625,0.0625,29.1875,-30.1875,-19.25,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19870,24
0,0.05000000074505806,-0.10000000149011612,9.710000038146973,0,-0.0625,0,29.1875,-30.1875,-19.25,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19880,25
0,0.03999999910593033,-0.10000000149011612,9.720000267028809,-0.0625,-0.0625,-0.0625,29.1875,-30.1875,-19.25,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19890,26
0,0.03999999910593033,-0.07000000029802322,9.739999771118164,0.0625,-0.25,0.0625,29.1875,-30.1875,-19.25,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19900,27
0,0.05000000074505806,-0.07000000029802322,9.739999771118164,0.125,0,0.125,29.5,-23.75,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19910,28
